Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Albania	ALB	22.3239994	22.64699936	24.82600021	24.58300018	23.86100006	23.39800072	23.19499969	23.03300095	23.29000092	22.72999954	22.68000031	21.48800087	20.15299988	18.81800079	17.46299934	16.04000092	13.5	13.05000019	13.76000023	14.19999981	13.97999954	13.43999958	15.64000034	17.48999977	17.07999992	15.22000027	13.86699963	15.13199997
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Algeria	DZA	22.5	24.37999916	26.22999954	27.73999977	31.84000015	28.61100006	25.43000031	26.70199966	28.31100082	29.77000046	27.29999924	25.89999962	23.71999931	17.64999962	15.27000046	12.27000046	13.78999996	11.32999992	10.15999985	9.960000038	9.960000038	10.97000027	9.819999695	10.60000038	11.19999981	10.19999981	10.12899971	10.06599998
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Angola	AGO	23.64999962	23.64299965	23.63599968	23.76199913	23.91699982	23.95400047	23.88899994	23.84399986	23.77499962	23.73399925	23.72500038	23.79000092	23.62800026	23.63999939	21.3579998	19.08499908	16.80400085	14.4989996	12.13700008	9.862999916	7.360000134	7.347000122	7.330999851	7.306000233	7.281000137	7.723999977	8.166999817	8.543000221
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Armenia	ARM	1.978999972	1.799999952	5.300000191	6.599999905	6.699999809	9.300000191	10.80000019	9.399999619	11.19999981	11.94299984	12.73900032	13.72599983	14.52900028	15.32299995	16.06599998	16.82799911	17.51799965	17.98500061	18.73999977	19.01000023	18.44000053	17.30999947	16.18000031	17.5	18.26000023	18.04000092	18.23399925	18.27599907
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Barbados	BRB	22.96100044	22.94000053	24.54000092	22.97999954	19.65999985	14.71000004	14.60999966	12.39999962	10.60999966	9.350000381	9.850000381	10.31999969	11	9.75	9.06000042	8.720000267	7.449999809	8.069999695	10.02000046	10.68999958	11.14000034	11.57999992	11.55000019	12.17000008	11.35000038	9.720000267	9.687000275	9.527999878
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Bosnia and Herzegovina	BIH	17.54999924	18.48900032	20.35099983	24.1970005	26.42300034	26.07500076	26.1779995	26.34499931	26.99099922	26.0739994	26.42399979	27.71999931	28.23999977	29.5189991	30.06999969	31.10000038	28.93000031	23.29999924	24.03000069	27.20000076	27.60000038	28.04999924	27.45000076	27.52000046	27.69400024	25.05999947	25.56200027	26.05599976
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Botswana	BWA	13.81999969	15.66499996	17.51000023	21.20000076	21.38999939	21.57999992	21.21999931	20.86000061	18.37000084	15.88000011	18.54000092	21.17000008	23.79999924	22.29999924	20.79999924	17.79999924	17.3920002	16.98500061	16.17000008	17.86000061	17.61700058	17.49300003	17.71800041	17.34900093	17.01499939	17.11700058	17.35700035	17.61800003
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Bulgaria	BGR	21.24399948	21.48600006	21.38999939	20.17000008	15.90999985	13.75	13.69999981	12.19999981	14.10000038	16.21999931	19.92000008	18.11000061	13.72999954	12.03999996	10.07999992	8.949999809	6.880000114	5.610000134	6.820000172	10.27999973	11.26000023	12.27000046	12.93999958	11.42000008	9.140000343	7.570000172	6.159999847	4.919000149
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Colombia	COL	10.11999989	9.43999958	7.800000191	8.25	8.720000267	11.81000042	12.14000034	15	20.05999947	20.52000046	15.03999996	15.63000011	14.18999958	13.72000027	11.86999989	12.69999981	11.19999981	11.27000046	12.06999969	10.88000011	10.18999958	9.81000042	9.18999958	8.529999733	8.239999771	8.350000381	8.850000381	9.029999733
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Congo	COG	20.52300072	20.48900032	20.41500092	20.34000015	20.31399918	20.28300095	20.20899963	20.18300056	20.08300018	20.05900002	20.01099968	19.96800041	19.88599968	19.83600044	19.79999924	18.82099915	17.81399918	16.87899971	16.10000038	14.5539999	13.06400013	10	10.00399971	9.998000145	10.02499962	10.42099953	10.94699955	11.25699997
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Eswatini	SWZ	22.02400017	21.92700005	21.81599998	21.71899986	21.64999962	21.84600067	22.5	22.44599915	22.37899971	22.29500008	22.25200081	22.20299911	22.16300011	22.12999916	22.09399986	22.0189991	28.23999977	28.12999916	27.97500038	27.79199982	27.5340004	27.23200035	26.91300011	26.61199951	26.33200073	26.34799957	26.39599991	26.4470005
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	French Polynesia	PYF	13.88099957	13.76000023	13.55099964	13.31400013	13.11999989	12.89999962	12.50699997	12.05500031	11.66399956	11.38500023	11.21199989	11.71000004	11.77600002	11.84200001	11.82400036	11.83100033	11.73999977	13.77400017	15.80200005	17.96800041	20.00900078	21.79000092	21.65299988	21.49300003	21.37100029	20.99099922	20.77300072	20.51499939
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Gabon	GAB	17.77099991	17.45299911	17.78000069	17.77300072	17.82099915	17.73600006	17.80200005	17.64699936	17.26099968	17.26199913	17.37599945	17.21199989	17.20400047	17.09000015	16.90999985	17.48999977	18.52199936	18.87400055	19.29500008	20.38999939	20.36599922	20.22900009	20.18899918	20.08399963	20.00499916	19.88699913	19.6590004	19.45700073
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Greece	GRC	7.659999847	7.840000153	8.609999657	8.859999657	9.06000042	9.659999847	9.579999924	10.84000015	11.85000038	11.25	10.46000004	9.970000267	9.409999847	10.31000042	9.989999771	9.010000229	8.399999619	7.760000229	9.619999886	12.71000004	17.86000061	24.44000053	27.46999931	26.48999977	24.89999962	23.54000092	21.48999977	21.07299995
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Jordan	JOR	19.86700058	20.27899933	19.70000076	18.17900085	14.60000038	13.69999981	13.63799953	13.50399971	13.42500019	13.69999981	14.69999981	15.30000019	14.5	14.54599953	14.80000019	14	13.10000038	12.69999981	12.89999962	12.5	12.89999962	12.19999981	12.60000038	11.89999962	13.07499981	15.27499962	14.92199993	14.66899967
Unemployment, total (% of total labor force) (modeled ILO estimate)	SL.UEM.TOTL.ZS	Latvia	LVA	18.89299965	18.11300087	19.13199997	21.65500069	20.11599922	20.93000031	14.89999962	14.46000004	13.78999996	14.21000004	13.81999969	13.82999992	12.06000042	11.71000004	10.02999973	7.03000021	6.050000191	7.739999771	17.51000023	19.47999954	16.20999908	15.05000019	11.86999989	10.85000038	9.869999886	9.640000343	8.710000038	8.569000244
